板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
主板,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",000419,通程控股,1996-08-16,,,,F 批发零售
主板,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD",000420,吉林化纤,1996-08-02,,,,C 制造业
主板,南京公用发展股份有限公司,"NanJing Public Utilities Development Co., Ltd.",000421,南京公用,1996-08-06,,,,D 水电煤气
主板,湖北宜化化工股份有限公司,"HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD",000422,ST宜化,1996-08-15,,,,C 制造业
主板,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd.",000423,东阿阿胶,1996-07-29,,,,C 制造业
主板,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",000425,徐工机械,1996-08-28,,,,C 制造业
主板,内蒙古兴业矿业股份有限公司,"INNER MONGOLIA XINGYE MINING CO.,LTD",000426,兴业矿业,1996-08-28,,,,B 采矿业
主板,华天酒店集团股份有限公司,"HUATIAN HOTEL GROUP  CO.,LTD.",000428,华天酒店,1996-08-08,,,,H 住宿餐饮
主板,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",000429,粤高速Ａ,1998-02-20,200429,粤高速Ｂ,1996-08-15,G 运输仓储
主板,张家界旅游集团股份有限公司,"ZHANG JIA JIE TOURISM GROUP CO.,LTD",000430,张家界,1996-08-29,,,,N 公共环保
主板,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",000488,晨鸣纸业,2000-11-20,200488,晨  鸣Ｂ,1997-05-26,C 制造业
主板,山东高速路桥集团股份有限公司,"Shandong Hi-Speed Road&Bridge Co., LTD.",000498,山东路桥,1997-06-09,,,,E 建筑业
主板,武汉武商集团股份有限公司,WUHAN DEPARTMENT STORE GROUP CO.LTD,000501,鄂武商Ａ,1992-11-20,,,,F 批发零售
主板,绿景控股股份有限公司,"LVJING HOLDING CO.,LTD",000502,绿景控股,1992-11-23,,,,K 房地产
主板,国新健康保障服务集团股份有限公司,"China Reform Health Management and Services Group Co., Ltd.",000503,国新健康,1992-11-30,,,,I 信息技术
主板,南华生物医药股份有限公司,"NanHua Bio-medicine CO.,Ltd．",000504,ST生物,1992-12-08,,,,M 科研服务
主板,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",000505,京粮控股,1992-12-21,200505,京粮B,1995-06-29,C 制造业
主板,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,000506,中润资源,1993-03-12,,,,B 采矿业
主板,珠海港股份有限公司,"ZHUHAI  PORT  CO., LTD",000507,珠海港,1993-03-26,,,,G 运输仓储
主板,华塑控股股份有限公司,"Huasu Holdings CO.,Ltd",000509,*ST华塑,1993-05-07,,,,C 制造业
主板,四川新金路集团股份有限公司,"SICHUAN XINJINLU GROUP CO.,LTD",000510,新金路,1993-05-07,,,,C 制造业
主板,丽珠医药集团股份有限公司,LIVZON PHARMACEUTICAL GROUP INC.,000513,丽珠集团,1993-10-28,,,,C 制造业
主板,重庆渝开发股份有限公司,"CHONGQING YUKAIFA CO.,LTD",000514,渝 开 发,1993-07-12,,,,K 房地产
主板,西安国际医学投资股份有限公司,"XI""AN INTERNATIONAL MEDICAL INVESTMENT COMPANY LIMITED",000516,国际医学,1993-08-09,,,,Q 卫生
主板,荣安地产股份有限公司,"Rongan Property Co.,Ltd.",000517,荣安地产,1993-08-06,,,,K 房地产
主板,江苏四环生物股份有限公司,"JIANGSU SIHUAN BIOENGINEERING CO.,LTD",000518,四环生物,1993-09-08,,,,C 制造业
主板,中兵红箭股份有限公司,"NORTH INDUSTRIES GROUP RED ARROW CO., LTD",000519,中兵红箭,1993-10-08,,,,C 制造业
主板,长航凤凰股份有限公司,"Chang Jiang Shipping Group Phoenix Co.,Ltd",000520,长航凤凰,1993-10-25,,,,G 运输仓储
主板,长虹美菱股份有限公司,"CHANGHONG MEILING CO.,LTD.",000521,长虹美菱,1993-10-18,200521,虹美菱B,1996-08-28,C 制造业
主板,广州市浪奇实业股份有限公司,"LONKEY INDUSTRIAL CO.,LTD. GUANGZHOU",000523,广州浪奇,1993-11-08,,,,C 制造业
主板,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,000524,岭南控股,1993-11-18,,,,H 住宿餐饮
主板,南京红太阳股份有限公司,"NANJING RED SUN CO., LTD",000525,红 太 阳,1993-10-28,,,,C 制造业
主板,厦门紫光学大股份有限公司,"XIAMEN UNIGROUP XUE CO.,LTD.",000526,紫光学大,1993-11-01,,,,P 教育
主板,广西柳工机械股份有限公司,"GUANGXI LIUGONG MACHINERY CO., LTD",000528,柳    工,1993-11-18,,,,C 制造业
主板,广东广弘控股股份有限公司,"GUANGDONG GUANGHONG HOLDINGS CO.,LTD.",000529,广弘控股,1993-11-18,,,,C 制造业
主板,冰山冷热科技股份有限公司,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",000530,冰山冷热,1993-12-08,200530,冰山B,1998-03-20,C 制造业
主板,广州恒运企业集团股份有限公司,"GUANGZHOU HENGYUN ENTERPRISES HOLDING CO.,LTD",000531,穗恒运Ａ,1994-01-06,,,,D 水电煤气
主板,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co., Ltd.",000532,华金资本,1994-01-03,,,,S 综合
主板,广东顺钠电气股份有限公司,"Guangdong Shunna Electric Co. ,Ltd.",000533,顺钠股份,1994-01-03,,,,C 制造业
主板,万泽实业股份有限公司,"WEDGE INDUSTRIAL CO.,LTD.",000534,万泽股份,1994-01-10,,,,C 制造业
主板,华映科技（集团）股份有限公司,"CPT TECHNOLOGY (GROUP) CO., LTD",000536,*ST华映,1993-11-26,,,,C 制造业
主板,天津广宇发展股份有限公司,"TIANJIN GUANGYU DEVELOPMENT CO., LTD",000537,广宇发展,1993-12-10,,,,K 房地产
主板,云南白药集团股份有限公司,"YUNNAN BAIYAO GROUP CO.,LTD.",000538,云南白药,1993-12-15,,,,C 制造业
主板,广东电力发展股份有限公司,"GUANGDONG ELECTRIC POWER DEVELOPMENT CO., LTD",000539,粤电力Ａ,1993-11-26,200539,粤电力Ｂ,1995-06-28,D 水电煤气
主板,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,000540,中天金融,1994-02-02,,,,K 房地产
主板,佛山电器照明股份有限公司,"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",000541,佛山照明,1993-11-23,200541,粤照明Ｂ,1995-08-08,C 制造业
主板,安徽省皖能股份有限公司,"AN HUI WENERGY CO.,LTD",000543,皖能电力,1993-12-20,,,,D 水电煤气
主板,中原环保股份有限公司,"CENTRAL PLAINS ENVIRONMENT PROTECTION CO.,LTD",000544,中原环保,1993-12-08,,,,D 水电煤气
主板,金浦钛业股份有限公司,"GPRO TITANIUM INDUSTRY  CO.,LTD",000545,金浦钛业,1993-12-15,,,,C 制造业
主板,金圆环保股份有限公司,"Jinyuan EP Co.,Ltd.",000546,金圆股份,1993-12-15,,,,N 公共环保
主板,航天工业发展股份有限公司,Addsino Co.，Ltd,000547,航天发展,1993-11-30,,,,C 制造业
主板,湖南投资集团股份有限公司,"HUNAN INVESTMENT GROUP CO.,LTD",000548,湖南投资,1993-12-20,,,,G 运输仓储
主板,江铃汽车股份有限公司,"JIANGLING MOTORS CO., LTD",000550,江铃汽车,1993-12-01,200550,江  铃Ｂ,1995-09-29,C 制造业
主板,创元科技股份有限公司,"CREATE TECHNOLOGY & SCIENCE CO.,LTD",000551,创元科技,1994-01-06,,,,S 综合
主板,甘肃靖远煤电股份有限公司,"GANSU JINGYUAN COAL INDUSTRY AND ELECTRICITY POWER CO., LTD",000552,靖远煤电,1994-01-06,,,,B 采矿业
主板,安道麦股份有限公司,ADAMA Ltd.,000553,安道麦A,1993-12-03,200553,安道麦B,1997-05-15,C 制造业
主板,中国石化山东泰山石油股份有限公司,"SINOPEC SHANDONG TAISHAN PETROLEUM CO.,LTD.",000554,泰山石油,1993-12-15,,,,F 批发零售
主板,神州数码信息服务股份有限公司,Digital China Information Service Company Ltd.,000555,神州信息,1994-04-08,,,,I 信息技术
主板,宁夏西部创业实业股份有限公司,"Ningxia Western Venture Industrial Co., Ltd.",000557,西部创业,1994-06-17,,,,G 运输仓储
主板,莱茵达体育发展股份有限公司,"LANDER SPORTS DEVELOPMENT  CO.,LTD",000558,莱茵体育,1994-05-09,,,,K 房地产
主板,万向钱潮股份有限公司,"WANXIANG QIANCHAO CO.,LTD",000559,万向钱潮,1994-01-10,,,,C 制造业
主板,我爱我家控股集团股份有限公司,"5I5J HOLDING GROUP CO., LTD.",000560,我爱我家,1994-02-02,,,,K 房地产
主板,陕西烽火电子股份有限公司,"Shaanxi Fenghuo Electronics Co., Ltd.",000561,烽火电子,1994-05-09,,,,C 制造业
主板,陕西省国际信托股份有限公司,"SHAANXI INTERNATIONAL TRUST CO.,LTD.",000563,陕国投Ａ,1994-01-10,,,,J 金融业
主板,供销大集集团股份有限公司,"CCOOP GROUP CO.,LTD",000564,供销大集,1994-01-10,,,,F 批发零售
主板,重庆三峡油漆股份有限公司,"CHONGQING SANXIA PAINTS CO.,LTD",000565,渝三峡Ａ,1994-04-08,,,,C 制造业
主板,海南海药股份有限公司,"HAINAN HAIYAO CO.,LTD",000566,海南海药,1994-05-25,,,,C 制造业
主板,海南海德资本管理股份有限公司,"HAINAN HAIDE CAPITAL MANAGEMENT CO., LTD.",000567,海德股份,1994-05-25,,,,J 金融业
主板,泸州老窖股份有限公司,"LUZHOU LAO JIAO CO.,LTD",000568,泸州老窖,1994-05-09,,,,C 制造业
主板,常柴股份有限公司,"CHANGCHAI COMPANY,LIMITED",000570,苏常柴Ａ,1994-07-01,200570,苏常柴Ｂ,1996-09-13,C 制造业
主板,新大洲控股股份有限公司,"SUNDIRO HOLDING CO., LTD.",000571,*ST大洲,1994-05-25,,,,S 综合
主板,海马汽车股份有限公司,"Haima Automobile Co.,Ltd.",000572,ST海马,1994-08-08,,,,C 制造业
